CODIGO_DA_IES;NOME_DA_IES;SIGLA;CATEGORIA_DA_IES;COMUNITARIA;CONFESSIONAL;FILANTROPICA;ORGANIZACAO_ACADEMICA;CODIGO_MUNICIPIO_IBGE;MUNICIPIO;UF;SITUACAO_IES
21995;Faculdade de Tecnologia Senac Curitiba;;Privada;N;N;N;Faculdade;4106902.0;Curitiba;PR;Ativa
5701;UNIVERSIDADE DO ESTADO DO AMAPÁ - UEAP;UEAP;Pública;N;N;N;Universidade;1600303.0;Macapá;AP;Ativa
1768;FACULDADE REGIONAL SERRANA - FUNPAC;FUNPAC;Privada;N;N;N;Faculdade;3205069.0;Venda Nova do Imigrante;ES;Extinta
23261;Faculdade São Judas de São Bernardo do Campo;;Privada;N;N;N;Faculdade;3548708.0;São Bernardo do Campo;SP;Ativa
4250;FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES (JUIZ DE FORA) - FACE ALFOR JF;FACE ALFOR JF;Privada;N;N;N;Faculdade;3136702.0;Juiz de Fora;MG;Extinta
626;CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO - UNICNEC;UNICNEC;Privada;S;N;N;Centro Universitário;4313508.0;Osório;RS;Ativa
2428;FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS - FACICA;FACICA;Privada;N;N;N;Faculdade;3111606.0;Campos Gerais;MG;Ativa
1419;CENTRO UNIVERSITÁRIO CURITIBA - UNICURITIBA;UNICURITIBA;Privada;N;N;N;Centro Universitário;4106902.0;Curitiba;PR;Ativa
275;UNIVERSIDADE DO VALE DO PARAÍBA - UNIVAP;UNIVAP;Privada;S;N;N;Universidade;3549904.0;São José dos Campos;SP;Ativa
14123;Faculdade Presidente Antônio Carlos de Bom Sucesso - FUNEES Bom Sucesso;FUNEES Bom Sucesso;Privada;N;N;N;Faculdade;3108008.0;Bom Sucesso;MG;Extinta
22760;Faculdade Fleming Cerquilho - Fac Cerquilho;Fac Cerquilho;Privada;N;N;N;Faculdade;3511508.0;Cerquilho;SP;Ativa
3188;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS - IFNMG;IFNMG;Pública;N;N;N;Instituto Federal de Educação, Ciência e Tecnologia;3143302.0;Montes Claros;MG;Ativa
17952;Faculdade de Tecnologia de Jacareí - FATEC Jacareí;FATEC Jacareí;Pública;N;N;N;Faculdade;3524402.0;Jacareí;SP;Ativa
2402;Centro Universitário UNIFTC;;Privada;N;N;N;Centro Universitário;2927408.0;Salvador;BA;Ativa
660;FACULDADE METODISTA DO SUL PAULISTA - FMSP;FMSP;Privada;N;N;N;Faculdade;3522406.0;Itapeva;SP;Extinta
1244;Centro Universitário Multivix Vitória;;Privada;N;N;N;Centro Universitário;3205309.0;Vitória;ES;Ativa
1494;Centro Universitário Salesiano - UniSales;UniSales;Privada;N;N;N;Centro Universitário;3205309.0;Vitória;ES;Ativa
1253;FACULDADE METODISTA GRANBERY - FMG;FMG;Privada;S;N;N;Faculdade;3136702.0;Juiz de Fora;MG;Ativa
15526;FACULDADE UNIRB CEARÁ - F.CEARÁ;F.CEARÁ;Privada;N;N;N;Faculdade;2304400.0;Fortaleza;CE;Ativa
3757;FACULDADE SERRA DA MESA - FASEM;FASEM;Privada;N;N;N;Faculdade;5221601.0;Uruaçu;GO;Ativa
3363;FACULDADE GUARAÍ - FAG;FAG;Privada;N;N;N;Faculdade;1709302.0;Guaraí;TO;Ativa
338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS - PUC MINAS;PUC MINAS;Privada;S;S;N;Universidade;3106200.0;Belo Horizonte;MG;Ativa
21982;Faculdade Integrada CETE - FIC;FIC;Privada;N;N;N;Faculdade;2606002.0;Garanhuns;PE;Ativa
22113;Faculdade Pitagoras Anhanguera de Santa Cruz do Sul;;Privada;N;N;N;Faculdade;4316808.0;Santa Cruz do Sul;RS;Extinta
5053;FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO - FAETERJ PARACAMBI;FAETERJ PARACAMBI;Pública;N;N;N;Faculdade;3303609.0;Paracambi;RJ;Ativa
1279;FACULDADE DE ITÁPOLIS - FACITA - FACITA;FACITA;Privada;N;N;N;Faculdade;3522703.0;Itápolis;SP;Ativa
22313;FACULDADE NOVE DE JULHO DE BAURU - NOVE-BAURU;NOVE-BAURU;Privada;N;N;N;Faculdade;3506003.0;Bauru;SP;Ativa
1624;FACULDADE MARECHAL RONDON - FMR;FMR;Privada;N;N;N;Faculdade;3550100.0;São Manuel;SP;Ativa
25613;ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS - APM;APM;Pública;N;N;N;Faculdade;3106200.0;Belo Horizonte;MG;Ativa
1502;FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ;;Privada;N;N;N;Faculdade;3525904.0;Jundiaí;SP;Ativa
14724;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ - IFPR;IFPR;Pública;N;N;N;Instituto Federal de Educação, Ciência e Tecnologia;4106902.0;Curitiba;PR;Ativa
